Month,Revenue,MonthLabel
1,686654.16,2009-12
2,557319.062,2010-01
3,506371.066,2010-02
4,699608.991,2010-03
5,594609.192,2010-04
6,599985.79,2010-05
7,639066.58,2010-06
8,591636.74,2010-07
9,604242.65,2010-08
10,831615.001,2010-09
11,1036680.0,2010-10
12,1172336.042,2010-11
13,884591.89,2010-12
14,569445.04,2011-01
15,447137.35,2011-02
16,595500.76,2011-03
17,469200.361,2011-04
18,678594.56,2011-05
19,661213.69,2011-06
20,600091.011,2011-07
21,645343.9,2011-08
22,952838.382,2011-09
23,1039318.79,2011-10
24,1161817.3800000001,2011-11
25,518210.79,2011-12
